	cusip	industry	name	sector	stocksymbol
92	00400R700		ABSOLUTE SHS TR		
93	00400R874		ABSOLUTE SHS TR		
94	00400R205		ABSOLUTE SHS TR		
95	00400R502		ABSOLUTE SHS TR		
96	00400R882		ABSOLUTE SHS TR		
97	00400R106		ABSOLUTE SHS TR		
98	00400R809		ABSOLUTE SHS TR		
99	00400R304		ABSOLUTE SHS TR		
100	00400R403		ABSOLUTE SHS TR		
101	00386B109		ABSOLUTE SOFTWARE CORP		
102	34984T600		ABSOLUTE STRATEGIES FUND CL I		
103	00400H108		ABTECH HLDGS INC		
104	00401C108		ACACIA COMMUNICATIONS INC		
105	003881307		ACACIA RESH CORP		
106	3881307		ACACIA RESH CORP		
107	004006508		ACADEMY FDS TR		
108	00404A109	Medical Specialities	ACADIA HEALTHCARE COMPANY IN	Health Care	NASDAQ:ACHC
109	4225108		ACADIA PHARMACEUTICALS INC		
110	004225108	Major Pharmaceuticals	ACADIA PHARMACEUTICALS INC	Health Care	NASDAQ:ACAD
111	004239109	Real Estate Investment Trusts	ACADIA RLTY TR	Consumer Services	NYSE:AKR
112	004272100		ACADIAN TIMBER CORP		
113	00084K104		ACC CLAIMS HLDGS LLC BE		
114	00430H102	Biotechnology: Laboratory Analytical Instruments	ACCELERATE DIAGNOSTICS INC	Capital Goods	NASDAQ:AXDX
115	004304200		ACCELERATE DIAGNOSTICS INC		
116	00434H108	Biotechnology: Biological Products (No Diagnostic Substances)	ACCELERON PHARMA INC	Health Care	NASDAQ:XLRN
117	G11513101		ACCENTURE LTD		
118	G1150G111		ACCENTURE LTD CL A		
119	IE00B4BNM		ACCENTURE LTD.		
120	00B4BNMY3		ACCENTURE PLC		
121	B4BNMY3US		ACCENTURE PLC		
122	B4BNMY3		ACCENTURE PLC CL A		
123	G1151C10		ACCENTURE PLC IRELAND		
124	G1151C101	Business Services	ACCENTURE PLC IRELAND	Miscellaneous	NYSE:ACN
125	045008479		ACCENTURE PLC IRELAND SHS CLAS		
126	004337101	Savings Institutions	ACCESS NATL CORP	Finance	NASDAQ:ANCX
127	00081T10		ACCO BRANDS CORP		
128	00081T108	Publishing	ACCO BRANDS CORP	Consumer Durables	NYSE:ACCO
129	00435F309		ACCOR SA-SPONSORED ADR		
130	00438V103		ACCRETIVE HEALTH INC		
131	004397105		ACCURAY INC		
132	004397AF2		ACCURAY INC		
133	004397AD7		ACCURAY INC		
134	00439T206		ACCURIDE CORP NEW		
135	B3BQMF6		ACE LTD		
136	CH0044328		ACE LTD.		
137	00444T100	Major Pharmaceuticals	ACELRX PHARMACEUTICALS INC	Health Care	NASDAQ:ACRX
138	004446100	Other Pharmaceuticals	ACETO CORP	Health Care	NASDAQ:ACET
139	4446100		ACETO CORP		
140	004449104	Major Pharmaceuticals	ACHAOGEN INC	Health Care	NASDAQ:AKAO
141	00448Q201	Major Pharmaceuticals	ACHILLION PHARMACEUTICALS IN	Health Care	NASDAQ:ACHN
142	004498101	Computer Software: Prepackaged Software	ACI WORLDWIDE INC	Technology	NASDAQ:ACIW
143	4498101		ACI WORLDWIDE INC		
144	00461U105		ACLARIS THERAPEUTICS INC		
145	004816104		ACME UTD CORP		
146	000868109	Major Banks	ACNB CORP	Finance	NASDAQ:ACNB
147	004845202		ACOM CO LTD		
148	00484M106	Biotechnology: Biological Products (No Diagnostic Substances)	ACORDA THERAPEUTICS INC	Health Care	NASDAQ:ACOR
149	00484MAA4		ACORDA THERAPEUTICS INC		
150	004854204		ACORN INTL INC		
151	00489F106		ACRE RLTY INVS INC		
152	00089H106		ACS ACTIVIDADES		
153	00507K103		ACTAVIS INC		
154	00B1YD5Q2		ACTELION LTD		
155	H0032X135		ACTELION LTD		
156	B1YD5Q2		ACTELION LTD-REG		
157	00507G102		ACTELION LTD-UNSP ADR		
158	00507W107		ACTINIUM PHARMACEUTICALS INC		
159	00507E107		ACTIONS SEMICONDUCTOR CO LTD		
160	00504W308	Electric Utilities: Central	ACTIVE POWER INC	Public Utilities	NASDAQ:ACPW
161	2575818		ACTIVISION BL USD0.000001		
162	00507V109		ACTIVISION BLIZZARD INC		
163	004930202	Computer Software: Prepackaged Software	ACTIVISION INC	Technology	NASDAQ:ATVI
164	5094107		ACTUA CORP		
165	005094107		ACTUA CORP		
166	00508X203	Industrial Machinery/Components	ACTUANT CORP	Technology	NYSE:ATU
167	00508Y10		ACUITY BRANDS INC		
168	00508Y102	Building Products	ACUITY BRANDS INC	Consumer Durables	NYSE:AYI
169	2818461		ACUITY BRANDS INC USD0.01		
170	00509L802	Major Pharmaceuticals	ACURA PHARMACEUTICALS INC	Health Care	NASDAQ:ACUR
171	5125109		ACXIOM CORP		
172	005125109	EDP Services	ACXIOM CORP	Technology	NASDAQ:ACXM
173	00548F105		ADAM NAT RES FD INC		
174	00548A106	Major Pharmaceuticals	ADAMAS PHARMACEUTICALS INC	Health Care	NASDAQ:ADMS
175	00547Y105		ADAMERA MINERALS CORP COM		
176	00547W208	Major Pharmaceuticals	ADAMIS PHARMACEUTICALS CORP	Health Care	NASDAQ:ADMP
177	6212104		ADAMS EXPRESS CO		
178	006212104	n/a	ADAMS EXPRESS CO	n/a	NYSE:ADX
179	006351308		ADAMS RES & ENERGY INC		
180	00653A107	Biotechnology: Biological Products (No Diagnostic Substances)	ADAPTIMMUNE THERAPEUTICS PLC	Health Care	NASDAQ:ADAP
181	00650W300		ADCARE HEALTH SYSTEMS INC		
182	006739106	Medical/Nursing Services	ADDUS HOMECARE CORP	Health Care	NASDAQ:ADUS
183	6739106		ADDUS HOMECARE CORP		
184	006743306	Office Equipment/Supplies/Services	ADDVANTAGE TECHNOLOGIES GP I	Consumer Services	NASDAQ:AEY
185	L00849106	Farming/Seeds/Milling	ADECOAGRO S A	Consumer Non-Durables	NYSE:AGRO
186	L0084910		ADECOAGRO S A		
187	006855100	Hospital/Nursing Management	ADEPTUS HEALTH INC	Health Care	NYSE:ADPT
188	00687D101		ADESTO TECHNOLOGIES CORP		
189	00687A107		ADIDAS AG		
190	4031976		ADIDAS AG		
191	D0066B185		ADIDAS AG NAMEN -AKT		
192	000899104	Biotechnology: Biological Products (No Diagnostic Substances)	ADMA BIOLOGICS INC	Health Care	NASDAQ:ADMA
193	00724F10		ADOBE SYS INC		
194	00724F101	Computer Software: Prepackaged Software	ADOBE SYS INC	Technology	NASDAQ:ADBE
195	00738A106	Telecommunications Equipment	ADTRAN INC	Public Utilities	NASDAQ:ADTN
196	00738A10		ADTRAN INC		
197	00739L101	Major Pharmaceuticals	ADURO BIOTECH INC	Health Care	NASDAQ:ADRO
198	00751Y106	Other Specialty Stores	ADVANCE AUTO PARTS INC	Consumer Services	NYSE:AAP
199	00790T100		ADVANCED ACCELERATOR APPLIC		
200	00790R104	Containers/Packaging	ADVANCED DRAIN SYS INC DEL	Capital Goods	NYSE:WMS
201	00770C101		ADVANCED EMISSIONS SOLUTS IN		
202	007973100	Industrial Machinery/Components	ADVANCED ENERGY INDS	Capital Goods	NASDAQ:AEIS
203	007947104		ADVANCED ENVIRONMENTAL		
204	00753G103		ADVANCED INFO SVC PUB LTD ADR		
205	007903BC0		ADVANCED MICRO DEVICES		
206	7903107		ADVANCED MICRO DEVICES INC		
207	007903107	Semiconductors	ADVANCED MICRO DEVICES INC	Technology	NASDAQ:AMD
208	00756M40		ADVANCED SEMICONDUCTOR ENGR		
209	00756M404	Semiconductors	ADVANCED SEMICONDUCTOR ENGR	Technology	NYSE:ASX
210	00765F10		ADVANTAGE OIL & GAS LTD		
211	00765F101		ADVANTAGE OIL & GAS LTD		
212	00762L101		ADVANTAGE OIL & GAS LTD		
213	00762U200	Semiconductors	ADVANTEST CORP	Technology	NYSE:ATE
214	007624117		ADVAXIS INC		
215	007624208		ADVAXIS INC		
216	007639107	n/a	ADVENT CLAY CONV SEC INC FD	n/a	NYSE:AGC
217	00764C109	n/a	ADVENT CLAYMORE CV SECS & IN	n/a	NYSE:AVK
218	00765E104	n/a	ADVENT CLAYMORE ENH GRW & IN	n/a	NYSE:LCM
219	00773U108		ADVERUM BIOTECHNOLOGIES INC		
220	00770G847		ADVISERS INVT TR		
221	00758M162		ADVISORS INNER CIRCLE FD		
222	0075W0825		ADVISORS INNER CIRCLE FD		
223	0075W0817		ADVISORS INNER CIRCLE FD		
224	0075W0759		ADVISORS INNER CIRCLE FD		
225	007989395		ADVISORS SER TR		
226	00770X535		ADVISORS SER TR POPLAR FRST CO		
227	00768D764		ADVISORS SERIES TRUST		
228	00768Y628		ADVISORSHARES TR		
229	00768Y594		ADVISORSHARES TR		
230	00768Y669		ADVISORSHARES TR		
231	00768Y644	n/a	ADVISORSHARES TR	n/a	NASDAQ:YPRO
232	00768Y826		ADVISORSHARES TR		
233	00768Y750		ADVISORSHARES TR		
234	00768Y859		ADVISORSHARES TR		
235	00768Y818		ADVISORSHARES TR		
236	00768Y883		ADVISORSHARES TR		
237	00768Y727		ADVISORSHARES TR		
238	00768Y651		ADVISORSHARES TR		
239	00768Y743		ADVISORSHARES TR		
240	00768Y685		ADVISORSHARES TR		
241	00768Y768		ADVISORSHARES TR		
242	00768Y206		ADVISORSHARES TR		
243	00768Y842		ADVISORSHARES TR		
244	00768Y834		ADVISORSHARES TR		
245	00768Y800		ADVISORSHARES TR		
246	00768Y776		ADVISORSHARES TR		
247	00768Y503		ADVISORSHARES TR		
248	00762W107	Other Consumer Services	ADVISORY BRD CO	Consumer Services	NASDAQ:ABCO
249	00766T100	Military/Government/Technical	AECOM	Consumer Services	NYSE:ACM
250	Y0020QAA9		AEGEAN MARINE PETE NETWORK I		
251	Y0017S102	Oil Refining/Marketing	AEGEAN MARINE PETROLEUM NETW	Energy	NYSE:ANW
252	Y0017S10		AEGEAN MARINE PETROLEUM NETW		
253	027930310		AEGEAN MARINE PETROLEUM NETWORK INC		
254	00767EAB8		AEGERION PHARMACEUTICALS INC		
255	00767E102	Major Pharmaceuticals	AEGERION PHARMACEUTICALS INC	Health Care	NASDAQ:AEGR
256	00770F104	Water Supply	AEGION CORP	Basic Industries	NASDAQ:AEGN
257	00773J103		AEGLEA BIOTHERAPEUTICS INC		
258	007924400	Life Insurance	AEGON 6.5% PFD	Finance	NYSE:AED
259	00792410		AEGON N V		
260	007924103	Life Insurance	AEGON N V	Finance	NYSE:AEG
261	007924509	Life Insurance	AEGON N V PERP CAP FLTG	Finance	NYSE:AEB
262	7924103		AEGON N V SPONSORED ADR		
263	007924301	Life Insurance	AEGON NV	Finance	NYSE:AEH
264	007924608	Life Insurance	AEGON NV	Finance	NYSE:AEK
265	00760J108	Electrical Products	AEHR TEST SYSTEMS	Capital Goods	NASDAQ:AEHR
266	00770K202		AEMETIS INC		
267	007627102		AEON CO LTD ADR		
268	001031103	Specialty Chemicals	AEP INDS INC	Capital Goods	NASDAQ:AEPI
269	N00985106	Diversified Commercial Services	AERCAP HOLDINGS NV	Technology	NYSE:AER
270	00771V108	Biotechnology: Biological Products (No Diagnostic Substances)	AERIE PHARMACEUTICALS INC	Health Care	NASDAQ:AERI
271	007737109		AEROCENTURY CORP		
272	7737109		AEROCENTURY CORP		
273	007786106	EDP Services	AEROHIVE NETWORKS INC	Technology	NYSE:HIVE
274	7800905		AEROJET ROCKETDYNE H		
275	007800105	Specialty Chemicals	AEROJET ROCKETDYNE HLDGS INC	Basic Industries	NYSE:AJRD
276	7800105		AEROJET ROCKETDYNE HLDGS INC		
277	008073108		AEROVIRONMENT INC		
278	00130H105	Electric Utilities: Central	AES CORP	Basic Industries	NYSE:AES
279	00808N202		AES TR III		
280	007975402		AETERNA ZENTARIS INC		
281	7975402		AETERNA ZENTARIS INC		
282	00808Y208		AETHLON MED INC		
283	008117AP8		AETNA INC		
284	00817Y108	Medical Specialities	AETNA INC NEW	Health Care	NYSE:AET
285	8252108		AFFILIATED MANAGERS GROUP		
286	008252108	Investment Managers	AFFILIATED MANAGERS GROUP	Finance	NYSE:AMG
287	N01045108	Major Pharmaceuticals	AFFIMED N V	Health Care	NASDAQ:AFMD
288	1055300		AFLAC 5.5% CALL 9/26/17		
289	001055102	Accident &Health Insurance	AFLAC INC	Finance	NYSE:AFL
290	1055102		AFLAC INC		
291	001055300	Accident &Health Insurance	AFLAC INC SUB DEB	Finance	NYSE:AFSD
292	25932401		AFW		
293	1228105		AG MTG INVT TR INC		
294	001228105	n/a	AG MTG INVT TR INC	n/a	NYSE:MITT
295	00108M102		AG&E HLDGS INC		
296	001084102	Industrial Machinery/Components	AGCO CORP	Capital Goods	NYSE:AGCO
297	1084102		AGCO CORP		
298	00844W208		AGEAS ADR		
299	00847G705	Biotechnology: Biological Products (No Diagnostic Substances)	AGENUS INC	Health Care	NASDAQ:AGEN
300	00847G101		AGENUS INC		
301	00847L100	Major Pharmaceuticals	AGILE THERAPEUTICS INC	Health Care	NASDAQ:AGRX
302	00846U101	Biotechnology: Laboratory Analytical Instruments	AGILENT TECHNOLOGIES INC	Capital Goods	NYSE:A
303	00847J105	EDP Services	AGILYSYS INC	Technology	NASDAQ:AGYS
304	00847X104	Major Pharmaceuticals	AGIOS PHARMACEUTICALS INC	Health Care	NASDAQ:AGIO
305	BSS7GP51C		AGL ENERGY		
306	001204106	Oil/Gas Transmission	AGL RES INC	Public Utilities	NYSE:GAS
307	008474108	Precious Metals	AGNICO EAGLE MINES LTD	Basic Industries	NYSE:AEM
308	008474959		AGNICO EAGLE MINES LTD		
309	2009823		AGNICO EAGLE MINES LTD		
310	8492100		AGREE REALTY CORP		
311	008492100	Real Estate Investment Trusts	AGREE REALTY CORP	Consumer Services	NYSE:ADC
312	00849210		AGREE REALTY CORP		
313	00850H103		AGRIA CORP		
314	00850L203		AGRIBANK FCB		
315	00850M102		AGRICULTURAL BK CHINA ADR		
316	00856P109		AGRITECH WORLDWIDE, INC.		
317	2213538		AGRIUM INC		
318	8916108		AGRIUM INC		
319	008916108	Agricultural Chemicals	AGRIUM INC	Basic Industries	NYSE:AGU
320	00856G109	Business Services	AGROFRESH SOLUTIONS	Finance	NASDAQ:AGFS
321	00856G117		AGROFRESH SOLUTIONS		
322	008674AH6		AHERN RENTALS INC		
323	B4TX8S1		AIA GROUP LTD		
324	001317205		AIA GROUP LTD-SP ADR		
325	Y002A1105		AIA GROUP LTD.		
326	001413103		AIM CHARTER FUND INCOME		
327	00142J578		AIM COUNSELOR SER TR INV AMER		
328	825252406		AIM SHORT TERM INV TR TREAS		
329	00900Q103		AIMIA INC.		
330	00900T107	Major Pharmaceuticals	AIMMUNE THERAPEUTICS INC	Health Care	NASDAQ:AIMT
331	009119108		AIR FRANCE-KLM		
332	00912N205		AIR INDS GROUP		
333	00912XAK0		AIR LEASE CORP		
334	00912X302	Diversified Commercial Services	AIR LEASE CORP	Technology	NYSE:AL
335	009126202		AIR LIQUIDE ADR		
336	F01764103		AIR LIQUIDE SA		
337	009128307	Transportation Services	AIR METHODS CORP	Transportation	NASDAQ:AIRM
338	9128307		AIR METHODS CORP		
339	009158106	Major Chemicals	AIR PRODS & CHEMS INC	Basic Industries	NYSE:APD
340	9158106		AIR PRODS & CHEMS INC		
341	009207101	Air Freight/Delivery Services	AIR T INC	Transportation	NASDAQ:AIRT
342	00922R10		AIR TRANSPORT SERVICES GRP I		
343	00922R105		AIR TRANSPORT SERVICES GRP I		
344	004012250		AIRBUS GROUP		
345	009279100		AIRBUS GROUP		
346	G0129K104	Diversified Commercial Services	AIRCASTLE LTD	Technology	NYSE:AYR
347	009411109		AIRMEDIA GROUP INC		
348	00949PAD0		AIRTRAN HLDGS INC		
349	00956Q106		AISIN SEIKO CO LTD-UNSP ADR		
350	009606104		AIXTRON SE		
351	009707100		AJINOMOTO INC UNSPON ADR		
352	001546AL4		AK STEEL CORP		
353	001546AP5		AK STL CORP		
354	001547108	Steel/Iron Ore	AK STL HLDG CORP	Basic Industries	NYSE:AKS
355	00154710		AK STL HLDG CORP		
356	00971T10		AKAMAI TECHNOLOGIES INC		
357	00971TAG6		AKAMAI TECHNOLOGIES INC		
358	00971T101	Business Services	AKAMAI TECHNOLOGIES INC	Miscellaneous	NASDAQ:AKAM
359	00972G108	Major Pharmaceuticals	AKARI THERAPEUTICS PLC	Health Care	NASDAQ:AKTX
360	009719501		AKBANK T.A.S		
361	00972D105	Major Pharmaceuticals	AKEBIA THERAPEUTICS INC	Health Care	NASDAQ:AKBA
362	00973E102	Biotechnology: In Vitro & In Vivo Diagnostic Substances	AKERS BIOSCIENCES INC	Health Care	NASDAQ:AKER
363	9728106		AKORN INC		
364	009728106		AKORN INC		
365	742935117		AKRE FOCUS FUND RETAIL		
366	010198208		AKTIEBOLAGET ELECTROLUX SPON A		
367	N01803100		AKZO NOBEL N.V.		
368	010199305		AKZO NOBEL NV		
369	010679108		ALACER GOLD CORP		
370	11311107		ALAMO GROUP INC		
371	011311107	Industrial Machinery/Components	ALAMO GROUP INC	Capital Goods	NYSE:ALG
372	01153210		ALAMOS GOLD INC		
373	011532108		ALAMOS GOLD INC NEW		
374	11642105		ALARM COM HLDGS INC		
375	011642105	Computer Software: Prepackaged Software	ALARM COM HLDGS INC	Technology	NASDAQ:ALRM
376	011659109	Air Freight/Delivery Services	ALASKA AIR GROUP INC	Transportation	NYSE:ALK
377	11659109		ALASKA AIR GROUP INC		
378	01167P101	Telecommunications Equipment	ALASKA COMMUNICATIONS SYS GR	Public Utilities	NASDAQ:ALSK
379	01167PAE1		ALASKA COMMUNICATIONS SYS GR		
380	01234810		ALBANY INTL CORP		
381	012348108	Textiles	ALBANY INTL CORP	Basic Industries	NYSE:AIN
382	12348108		ALBANY INTL CP NEW CL		
383	12423109		ALBANY MOLECULAR RESH INC		
384	012423AB5		ALBANY MOLECULAR RESH INC		
385	012423109	Biotechnology: Commercial Physical & Biological Resarch	ALBANY MOLECULAR RESH INC	Health Care	NASDAQ:AMRI
386	012653101	Major Chemicals	ALBEMARLE CORP	Basic Industries	NYSE:ALB
387	12653101		ALBEMARLE CORP		
388	01374T102	n/a	ALCENTRA CAP CORP	n/a	NASDAQ:ABDC
389	013817309		ALCOA INC		
390	013817AV3		ALCOA INC		
391	13817101		ALCOA INC		
392	01381710		ALCOA INC		
393	013817101	Metal Fabrications	ALCOA INC	Capital Goods	NYSE:AA
394	M2239P109	Major Pharmaceuticals	ALCOBRA LTD	Health Care	NASDAQ:ADHD
395	014339105	Major Pharmaceuticals	ALDER BIOPHARMACEUTICALS INC	Health Care	NASDAQ:ALDR
396	14339105		ALDER BIOPHARMACEUTICALS INC		
397	01438T106	Major Pharmaceuticals	ALDEYRA THERAPEUTICS INC	Health Care	NASDAQ:ALDX
398	01449J105	Biotechnology: In Vitro & In Vivo Diagnostic Substances	ALERE INC	Health Care	NYSE:ALR
399	01449J204		ALERE INC		
400	01446U103		ALERUS FINANCIAL CORP		
401	015271703		ALEX RE PR E		
402	14491104		ALEXANDER & BALDWIN INC NEW		
403	014491104		ALEXANDER & BALDWIN INC NEW		
404	014752109	Real Estate Investment Trusts	ALEXANDERS INC	Consumer Services	NYSE:ALX
405	015271109	Real Estate Investment Trusts	ALEXANDRIA REAL ESTATE EQ IN	Consumer Services	NYSE:ARE
406	015271505		ALEXANDRIA REAL ESTATE EQ IN		
407	15271109		ALEXANDRIA REAL ESTATE EQ IN COM		
408	01535P106		ALEXCO RESOURCE CORP		
409	015351109	Major Pharmaceuticals	ALEXION PHARMACEUTICALS INC	Health Care	NASDAQ:ALXN
410	01535110		ALEXION PHARMACEUTICALS INC		
411	15351109		ALEXION PHARMACEUTICALS INC		
412	015393101		ALFA LAVAL AB SWEDEN ADR		
413	015857105		ALGONQUIN POWER & UTILITIES		
414	01609W10		ALIBABA GROUP HLDG L		
415	01609W102	Business Services	ALIBABA GROUP HLDG LTD	Miscellaneous	NYSE:BABA
416	016230104	Farming/Seeds/Milling	ALICO INC	Consumer Non-Durables	NASDAQ:ALCO
417	16255101		ALIGN TECHNOLOGY INC		
418	016255101	Industrial Specialties	ALIGN TECHNOLOGY INC	Health Care	NASDAQ:ALGN
419	01626P403		ALIMENTATION COUCHE-TARD -B		
420	2011646		ALIMENTATION COUCHE-TARD INC		
421	16259103		ALIMERA SCIENCES INC		
422	016259103	Major Pharmaceuticals	ALIMERA SCIENCES INC	Health Care	NASDAQ:ALIM
423	001627108		ALJ REGIONAL HLDGS INC		
424	G78994947		ALKEN EURO OPP FD		
425	01642T108		ALKERMES INC		
426	009983589		ALKERMES PLC		
427	G01767105	Major Pharmaceuticals	ALKERMES PLC	Health Care	NASDAQ:ALKS
428	20002408		ALL+A		
429	20002606		ALL+C		
430	17175100		ALLEGHANY CORP DEL		
431	017175100	Property-Casualty Insurers	ALLEGHANY CORP DEL	Finance	NYSE:Y
432	01741RAG7		ALLEGHENY TECHNOLOGIES INC		
433	01741R102	Steel/Iron Ore	ALLEGHENY TECHNOLOGIES INC	Basic Industries	NYSE:ATI
434	017427105		ALLEGHENY VALLEY BANCORP PA		
435	01748H107		ALLEGIANCE BANCSHARES INC		
436	01748X102		ALLEGIANT TRAVEL CO		
437	BFRT3W7		ALLEGION PLC		
438	100207249		ALLEGION PLC		
439	00BFRT3W7		ALLEGION PLC.		
440	G0176J109	Diversified Commercial Services	ALLEGION PUB LTD CO	Consumer Services	NYSE:ALLE
441	00BY9D546		ALLERGAN		
442	018490102		ALLERGAN INC		
443	BY9D546		ALLERGAN PLC		
444	G0177J108	Major Pharmaceuticals	ALLERGAN PLC	Health Care	NYSE:AGN
445	G0177J10		ALLERGAN PLC		
446	125013678		ALLERGAN PLC		
447	EP0481507		ALLERGAN PLC		
448	G0177J116		ALLERGAN PLC		
449	018522300	Power Generation	ALLETE INC	Public Utilities	NYSE:ALE
450	18522300		ALLETE INC		
451	01852230		ALLETE INC		
452	018597104		ALLIANCE BERNSTEIN G&I FUND A		
453	018907501		ALLIANCE BERNSTEIN GLOBAL REAL		
454	018546101	n/a	ALLIANCE CALIF MUN INCOME FD	n/a	NYSE:AKP
455	18581108		ALLIANCE DATA SYSTEMS CORP		
456	018581108	Business Services	ALLIANCE DATA SYSTEMS CORP	Miscellaneous	NYSE:ADS
457	01861B101		ALLIANCE GLOBAL GRO-UNSP ADR		
458	018606301	Medical Specialities	ALLIANCE HEALTHCARE SRVCS IN	Health Care	NASDAQ:AIQ
459	01861G100	Coal Mining	ALLIANCE HOLDINGS GP LP	Energy	NASDAQ:AHGP
460	018772301		ALLIANCE ONE INTL INC		
461	018772103	Farming/Seeds/Milling	ALLIANCE ONE INTL INC	Consumer Services	NYSE:AOI
462	01877R108	Coal Mining	ALLIANCE RES PARTNER L P	Energy	NASDAQ:ARLP
